"year","geo","wstatus","worktime","age","sex","unit","isco08","values"
2014,"Austria","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",40
2015,"Austria","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",39.6
2016,"Austria","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",39.5
2017,"Austria","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",39.5
2018,"Austria","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",39.5
2019,"Austria","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",39.4
2020,"Austria","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",37.3
2021,"Austria","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",37.5
2022,"Austria","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",37.7
2023,"Austria","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",37.7
2021,"Bosnia and Herzegovina","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",41.5
2022,"Bosnia and Herzegovina","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",41.8
2023,"Bosnia and Herzegovina","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",41.6
2014,"Belgium","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",39.2
2015,"Belgium","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",39.3
2016,"Belgium","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",39.4
2017,"Belgium","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",38.7
2018,"Belgium","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",38.7
2019,"Belgium","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",38.6
2020,"Belgium","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",37.6
2021,"Belgium","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",36.8
2022,"Belgium","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",36.6
2023,"Belgium","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",36.6
2014,"Bulgaria","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",40.2
2015,"Bulgaria","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",40.2
2016,"Bulgaria","Employed persons","Full-time","From 20 to 64 years","Females","Hour","Total",40.3
